1,0,1
1,0.00125299,0.9965
1,0.00251165,0.993
1,0.00377554,0.9895
1.00001,0.00504418,0.986
1.00001,0.00631711,0.9825
1.00001,0.00759384,0.979
1.00002,0.00887389,0.9755
1.00002,0.0101568,0.972
1.00003,0.011442,0.9685
1.00003,0.0127291,0.965
1.00004,0.0140176,0.9615
1.00005,0.0153071,0.958
1.00005,0.0165969,0.9545
1.00006,0.0178868,0.951
1.00007,0.0191761,0.9475
1.00008,0.0204646,0.944
1.00009,0.0217517,0.9405
1.0001,0.0230371,0.937
1.00012,0.0243204,0.9335
1.00013,0.0256011,0.93
1.00014,0.026879,0.9265
1.00015,0.0281536,0.923
1.00017,0.0294247,0.9195
1.00018,0.030692,0.916
1.0002,0.0319552,0.9125
1.00022,0.033214,0.909
1.00023,0.0344682,0.9055
1.00025,0.0357176,0.902
1.00027,0.036962,0.8985
1.00029,0.0382013,0.895
1.00031,0.0394353,0.8915
1.00033,0.0406639,0.888
1.00035,0.0418871,0.8845
1.00037,0.0431048,0.881
1.00039,0.0443168,0.8775
1.00041,0.0455233,0.874
1.00044,0.0467243,0.8705
1.00046,0.0479197,0.867
1.00048,0.0451281,0.8705
1.0005,0.04435,0.8705
1.00053,0.0435845,0.8705
1.00055,0.0428309,0.8705
1.00057,0.0420887,0.8705
1.00059,0.0413572,0.8705
1.00061,0.0406361,0.8705
1.00063,0.0399249,0.8705
1.00065,0.0392231,0.8705
1.00067,0.0385303,0.8705
1.00069,0.0378461,0.8705
1.00071,0.0371701,0.8705
1.00073,0.036502,0.8705
1.00074,0.0358414,0.8705
1.00076,0.035188,0.8705
1.00078,0.0345415,0.8705
1.0008,0.0339017,0.8705
1.00081,0.0332682,0.8705
1.00083,0.0326408,0.8705
1.00085,0.0320192,0.8705
1.00086,0.0314032,0.8705
1.00088,0.0347984,0.8635
1.0009,0.0361847,0.86
1.00092,0.0375685,0.8565
1.00093,0.0389496,0.853
1.00095,0.0403279,0.8495
1.00097,0.0417033,0.846
1.001,0.0430755,0.8425
1.00102,0.0444446,0.839
1.00104,0.0458105,0.8355
1.00106,0.047173,0.832
1.00109,0.0485322,0.8285
1.00111,0.0498881,0.825
1.00114,0.0512406,0.8215
1.00116,0.0525899,0.818
1.00119,0.0539359,0.8145
1.00122,0.0552787,0.811
1.00125,0.0566185,0.8075
1.00127,0.0579554,0.804
1.0013,0.0592895,0.8005
1.00133,0.0606209,0.797
1.00136,0.0619498,0.7935
1.00139,0.0589207,0.797
1.00142,0.0580929,0.797
1.00145,0.0572788,0.797
1.00148,0.0564779,0.797
1.00151,0.0556895,0.797
1.00154,0.0549131,0.797
1.00156,0.0541481,0.797
1.00159,0.0533939,0.797
1.00162,0.0526502,0.797
1.00164,0.0519164,0.797
1.00167,0.0511921,0.797
1.00169,0.0504769,0.797
1.00172,0.0497704,0.797
1.00174,0.0490722,0.797
1.00177,0.0483819,0.797
1.00179,0.0476993,0.797
1.00182,0.0470241,0.797
1.00184,0.0463558,0.797
1.00186,0.0456943,0.797
1.00188,0.0450393,0.797
1.00191,0.0443904,0.797
1.00193,0.0481272,0.79
1.00196,0.0496712,0.7865
1.00198,0.0512153,0.783
1.00201,0.0527594,0.7795
1.00203,0.0543035,0.776
1.00206,0.0558475,0.7725
1.00209,0.0573917,0.769
1.00212,0.0589359,0.7655
1.00215,0.0604803,0.762
1.00218,0.062025,0.7585
1.00221,0.0635701,0.755
1.00224,0.0651157,0.7515
1.00228,0.0666619,0.748
1.00231,0.068209,0.7445
1.00234,0.069757,0.741
1.00238,0.0713063,0.7375
1.00241,0.072857,0.734
1.00245,0.0744093,0.7305
1.00249,0.0759635,0.727
1.00253,0.0775198,0.7235
1.00257,0.0790786,0.72
1.00261,0.08064,0.7165
1.00264,0.0773678,0.72
1.00268,0.076534,0.72
1.00272,0.0757137,0.72
1.00276,0.0749062,0.72
1.0028,0.0741109,0.72
